openness|Are they original and come up with new ideas?|1
openness|They are curious about many different things|1
openness|Are they ingenious and a deep thinker?|1
openness|They have an active imagination|1
openness|They are inventive|1
openness|They value artistic and aesthetic experiences|1
openness|They prefer work that is routine|-1
openness|They like to reflect, play with ideas|1
openness|They have few artistic interests|-1
openness|Are they sophisticated in art, music, or literature?|1
conscientiousness|They do a thorough job|1
conscientiousness|Can they be somewhat careless?|-1
conscientiousness|They are a reliable worker|1
conscientiousness|Do they tend to be disorganized?|-1
conscientiousness|They tends to be lazy|-1
conscientiousness|Do they persevere until the task is finished?|1
conscientiousness|They do things efficiently|1
conscientiousness|They make plans and follow through with them|1
conscientiousness|They are easily distracted|-1
extraversion|They are talkative|1
extraversion|Are they reserved?|-1
extraversion|They are full of energy|1
extraversion|They generate a lot of enthusiasm|1
extraversion|Do they tend to be quiet?|-1
extraversion|They have an assertive personality|1
extraversion|They are sometimes shy and inhibited|-1
extraversion|They are outgoing and sociable|1
agreeableness|Do they tend to find fault with others?|-1
agreeableness|Are they helpful and unselfish with others?|1
agreeableness|They start quarrels with others|-1
agreeableness|They have a forgiving nature|1
agreeableness|Are they generally trusting?|1
agreeableness|They can be cold and aloof|-1
agreeableness|Are they considerate and kind to almost everyone?|1
agreeableness|Are they sometimes rude to others?|-1
agreeableness|They like to cooperate with others|1
neuroticism|They are depressed and blue|1
neuroticism|They are relaxed and handle stress well|-1
neuroticism|Can they be tense?|1
neuroticism|Do they worry a lot?|1
neuroticism|Are they emotionally stable, and not easily upset?|-1
neuroticism|They can be moody|1
neuroticism|They remain calm in tense situations|-1
neuroticism|They can get nervous easily|1
